uri,name
http://www.wikidata.org/entity/Q3216005,Lady Laistee
http://www.wikidata.org/entity/Q67982747,Lala &ce
http://www.wikidata.org/entity/Q3240752,Lil Shaolin
http://www.wikidata.org/entity/Q3241643,Lino
http://www.wikidata.org/entity/Q33017850,Lomepal
http://www.wikidata.org/entity/Q56318840,Lord Esperanza
http://www.wikidata.org/entity/Q105436438,Lycos
http://www.wikidata.org/entity/Q107427312,MB14
http://www.wikidata.org/entity/Q45296598,MC Circulaire
http://www.wikidata.org/entity/Q918784,MC Solaar
http://www.wikidata.org/entity/Q48964824,MC Sool
http://www.wikidata.org/entity/Q23820256,MHD
http://www.wikidata.org/entity/Q33264784,Ma2x
http://www.wikidata.org/entity/Q1304138,Mac Tyer
http://www.wikidata.org/entity/Q106419003,Madbi
http://www.wikidata.org/entity/Q60835535,Maes
http://www.wikidata.org/entity/Q61067692,Mak Phan
http://www.wikidata.org/entity/Q3297278,Maska
http://www.wikidata.org/entity/Q3303251,Maître Gims
http://www.wikidata.org/entity/Q17403161,Mister Blaaz
http://www.wikidata.org/entity/Q23816443,Mister V
http://www.wikidata.org/entity/Q3316975,Mister You
http://www.wikidata.org/entity/Q19543588,Mochélan
http://www.wikidata.org/entity/Q2050238,Mokobé
http://www.wikidata.org/entity/Q3080444,Monsieur R
http://www.wikidata.org/entity/Q3332672,Médine
http://www.wikidata.org/entity/Q62808676,N.O.S
http://www.wikidata.org/entity/Q17393966,NIRO
http://www.wikidata.org/entity/Q59260966,Naestro
http://www.wikidata.org/entity/Q55008483,Naps
http://www.wikidata.org/entity/Q50364849,Naza
http://www.wikidata.org/entity/Q290264,Nessbeal
http://www.wikidata.org/entity/Q27999521,Nicole Ambrosia
http://www.wikidata.org/entity/Q3341520,Nikkfurie
http://www.wikidata.org/entity/Q41789930,Ninho
http://www.wikidata.org/entity/Q24689203,Niska
http://www.wikidata.org/entity/Q16667367,Némir
http://www.wikidata.org/entity/Q48746134,Népal
http://www.wikidata.org/entity/Q56728124,Octavian
http://www.wikidata.org/entity/Q42715528,Oli
http://www.wikidata.org/entity/Q30524684,Omar G
http://www.wikidata.org/entity/Q3482680,Oncle Geo
http://www.wikidata.org/entity/Q3482680,Oncle Shu
http://www.wikidata.org/entity/Q2813374,Orelsan
http://www.wikidata.org/entity/Q111128798,Othman Benhami
http://www.wikidata.org/entity/Q65153697,PLK
http://www.wikidata.org/entity/Q114055253,PSL
http://www.wikidata.org/entity/Q3389313,Pit Baccardi
http://www.wikidata.org/entity/Q105834802,Prime
http://www.wikidata.org/entity/Q105834802,PrimeTimeFUT
http://www.wikidata.org/entity/Q3411333,Pyroman
http://www.wikidata.org/entity/Q7275903,RAmez
http://www.wikidata.org/entity/Q59853362,RK
http://www.wikidata.org/entity/Q18390410,Ridsa
http://www.wikidata.org/entity/Q45431059,Rilès Kacimi
http://www.wikidata.org/entity/Q2061856,Rim'K
http://www.wikidata.org/entity/Q3437974,Rockin' Squat
http://www.wikidata.org/entity/Q1347550,Rohff
http://www.wikidata.org/entity/Q30333843,Roméo Elvis
http://www.wikidata.org/entity/Q3442858,Rost
http://www.wikidata.org/entity/Q60832390,S.Pri Noir
http://www.wikidata.org/entity/Q24286772,SCH
http://www.wikidata.org/entity/Q56311433,SEB
http://www.wikidata.org/entity/Q20745261,Sadek
http://www.wikidata.org/entity/Q42722878,Safiath
http://www.wikidata.org/entity/Q97819886,Sarahmeeo
http://www.wikidata.org/entity/Q24286772,Schneider
http://www.wikidata.org/entity/Q19629308,Scylla
http://www.wikidata.org/entity/Q56311433,Seb la Frite
http://www.wikidata.org/entity/Q3437418,Sebastian Rocca
http://www.wikidata.org/entity/Q2035152,Sefyu
http://www.wikidata.org/entity/Q4734521,Segnor Alonzo
http://www.wikidata.org/entity/Q284520,Seth Gueko
http://www.wikidata.org/entity/Q47462747,Shayy
http://www.wikidata.org/entity/Q3482680,Shurik'N
http://www.wikidata.org/entity/Q3482680,Shurik'n
http://www.wikidata.org/entity/Q3482680,Shurik'n Chang-Ti
http://www.wikidata.org/entity/Q18089589,Sindy
http://www.wikidata.org/entity/Q945150,Sinik
http://www.wikidata.org/entity/Q3485576,Six Coups MC
http://www.wikidata.org/entity/Q1912674,Smartzee
http://www.wikidata.org/entity/Q28125190,Snifeur Baby
http://www.wikidata.org/entity/Q24228906,Solystik
http://www.wikidata.org/entity/Q20450677,SonaOne
http://www.wikidata.org/entity/Q48964824,Soolking
http://www.wikidata.org/entity/Q59286669,Sopico
http://www.wikidata.org/entity/Q1372291,Soprano
http://www.wikidata.org/entity/Q89872556,Soso Maness
http://www.wikidata.org/entity/Q26211821,Souf De Boef
http://www.wikidata.org/entity/Q62581512,Spider ZED
http://www.wikidata.org/entity/Q16236571,Still Fresh
http://www.wikidata.org/entity/Q321627,Stress
http://www.wikidata.org/entity/Q313453,Stromae
http://www.wikidata.org/entity/Q3511487,Sévère
http://www.wikidata.org/entity/Q44379023,Tepa
http://www.wikidata.org/entity/Q110409381,Tiako
http://www.wikidata.org/entity/Q110409381,Tiakola
http://www.wikidata.org/entity/Q24578971,Tiers Monde
http://www.wikidata.org/entity/Q2374721,Tunisiano
http://www.wikidata.org/entity/Q21091667,Vald
http://www.wikidata.org/entity/Q58959472,Vegedream
http://www.wikidata.org/entity/Q113231992,Vin's
http://www.wikidata.org/entity/Q16035439,Vincha
http://www.wikidata.org/entity/Q24578973,Vîrus
http://www.wikidata.org/entity/Q565419,Xatar
http://www.wikidata.org/entity/Q42711292,Zara Moussa
http://www.wikidata.org/entity/Q12214899,Zifou
http://www.wikidata.org/entity/Q24689203,Zifukoro
http://www.wikidata.org/entity/Q30524684,Zwangere Guy
